task,n,epochs,n_eval,max_steps,arm,rank,lr,n_seeds,score_mean,base,ft_mean,G,G_lo,G_hi
facts,4000,10.0,1000,-1,oracle,64,1e-05,1,0.851,0.0,0.999,0.8518518518518519,0.8518518518518519,0.8518518518518519
facts,4000,10.0,1000,-1,oracle,128,1e-05,1,0.994,0.0,0.999,0.994994994994995,0.994994994994995,0.994994994994995
facts,4000,10.0,1000,-1,oracle,256,1e-05,1,1.0,0.0,0.999,1.001001001001001,1.001001001001001,1.001001001001001
facts,4000,10.0,1000,-1,oracle,1024,1e-05,1,0.999,0.0,0.999,1.0,1.0,1.0
sql,2000,2.0,500,-1,lora,1,0.001,3,0.846,0.318,0.8593333333333333,0.9753694581280791,0.9526123936816524,1.0
sql,2000,2.0,500,-1,lora,2,0.001,3,0.8486666666666666,0.318,0.8593333333333333,0.9802955665024632,0.9636363636363636,1.003787878787879
sql,2000,2.0,500,-1,lora,4,0.001,3,0.8653333333333334,0.318,0.8593333333333333,1.011083743842365,0.993924665856622,1.0366161616161618
sql,2000,2.0,500,-1,lora,8,0.001,3,0.852,0.318,0.8593333333333333,0.9864532019704436,0.9611178614823818,1.0124843945068662
sql,2000,2.0,500,-1,lora,16,0.001,3,0.8586666666666667,0.318,0.8593333333333333,0.998768472906404,0.9692874692874694,1.0299625468164795
sql,2000,2.0,500,-1,lora,32,0.001,3,0.8553333333333333,0.318,0.8593333333333333,0.9926108374384236,0.9745454545454545,1.0164141414141412
sql,2000,2.0,500,-1,lora,64,0.001,3,0.8513333333333333,0.318,0.8593333333333333,0.9852216748768473,0.9647630619684081,1.0074906367041199
sql,2000,2.0,500,-1,lora,128,0.001,3,0.854,0.318,0.8593333333333333,0.9901477832512318,0.9684082624544352,1.0126262626262625
sql,2000,2.0,500,-1,oracle,0,1e-05,3,0.318,0.318,0.8593333333333333,0.0,0.0,0.0
sql,2000,2.0,500,-1,oracle,1,1e-05,3,0.446,0.318,0.8593333333333333,0.2364532019704434,0.22545454545454544,0.24719101123595505
sql,2000,2.0,500,-1,oracle,2,1e-05,3,0.48466666666666663,0.318,0.8593333333333333,0.3078817733990148,0.291871921182266,0.32512315270935965
sql,2000,2.0,500,-1,oracle,4,1e-05,3,0.6613333333333333,0.318,0.8593333333333333,0.6342364532019705,0.48888888888888876,0.7518427518427518
sql,2000,2.0,500,-1,oracle,8,1e-05,3,0.794,0.318,0.8593333333333333,0.8793103448275864,0.8614823815309842,0.898876404494382
sql,2000,2.0,500,-1,oracle,16,1e-05,3,0.8286666666666666,0.318,0.8593333333333333,0.9433497536945814,0.9149453219927096,0.972534332084894
sql,2000,2.0,500,-1,oracle,32,1e-05,3,0.85,0.318,0.8593333333333333,0.9827586206896555,0.9550425273390037,1.0112359550561798
sql,2000,2.0,500,-1,oracle,64,1e-05,3,0.856,0.318,0.8593333333333333,0.99384236453202,0.9671931956257593,1.0212234706616727
sql,2000,2.0,500,-1,oracle,128,1e-05,3,0.8593333333333333,0.318,0.8593333333333333,1.0,0.9708383961117861,1.0299625468164795
sql,2000,2.0,500,-1,oracle,256,1e-05,3,0.8613333333333334,0.318,0.8593333333333333,1.0036945812807887,0.9769137302551641,1.031210986267166
sql,2000,2.0,500,-1,oracle,1024,1e-05,3,0.86,0.318,0.8593333333333333,1.0012315270935963,0.9756986634264887,1.027465667915106
