task,n,epochs,n_eval,max_steps,arm,rank,lr,n_seeds,score_mean,base,ft_mean,G,G_lo,G_hi
facts,4000,10.0,1000,-1,lora,4,0.0003,1,1.0,0.0,0.999,1.001001001001001,1.001001001001001,1.001001001001001
facts,4000,10.0,1000,-1,lora,64,0.001,1,0.907,0.0,0.999,0.907907907907908,0.907907907907908,0.907907907907908
sql,2000,2.0,500,-1,lora,4,0.003,1,0.798,0.318,0.828,0.9411764705882354,0.9411764705882354,0.9411764705882354
sql,2000,2.0,500,-1,lora,64,0.003,1,0.8,0.318,0.828,0.9450980392156864,0.9450980392156864,0.9450980392156864
