task,n,epochs,n_eval,max_steps,arm,r_star,r_star_ci,max_rank_tested,min_seeds
facts,4000,10.0,1000,-1,lora,4.0,4.0,64,1
sql,2000,2.0,500,-1,lora,,,64,1
